,p,Trajectory Length 1,Trajectory Length 2,Trajectory Length 3,Trajectory Length 4,Nodes Visited 1,Nodes Visited 2,Nodes Visited 3,Nodes Visited 4,FDG Length 1,FDG Length 2,FDG Length 3,FDG Length 4,Planning Time 1,Planning Time 2,Planning Time 3,Planning Time 4,Bumps 1,Bumps 2,Bumps 3,Bumps 4,Run Time 1,Run Time 2,Run Time 3,Run Time 4,con_vis 3,con_vis 4,FG Length
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.20492368191480637,0.1967587312683463,0.18857170175760984,0.20919950306415558,0,0,0,0,0.20578659512102604,0.19762239698320627,0.7347876131534576,0.22487733978778124,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.24052776768803596,0.24719876423478127,0.2507162671536207,0.26080557238310575,0,0,0,0,0.241725642234087,0.24810649547725916,0.7423569913953543,0.27482857275754213,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.19956562016159296,0.1958027444779873,0.24976296722888947,0.2768377773463726,0,0,0,0,0.20075981318950653,0.1965163704007864,0.874006224796176,0.2932920753955841,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.2869355045258999,0.21547587774693966,0.20753046218305826,0.2810965273529291,0,0,0,0,0.2882171496748924,0.216267135925591,0.8401728374883533,0.2977096512913704,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.250322125852108,0.2541591450572014,0.2512233620509505,0.27331074886024,0,0,0,0,0.2515448955819011,0.25510252080857754,0.8776591625064611,0.2891890350729227,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.2571043148636818,0.25625724997371435,0.25237225741147995,0.2805245667695999,0,0,0,0,0.25840260554105043,0.2572465306147933,0.8890757290646434,0.29628982301801443,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.2562223104760051,0.2503697266802192,0.25483203772455454,0.2722482783719897,0,0,0,0,0.25753376726061106,0.25132831931114197,0.8916953159496188,0.28775578271597624,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.25672589614987373,0.24906550720334053,0.22082609683275223,0.21658584009855986,0,0,0,0,0.25800611171871424,0.2500554220750928,0.7831836268305779,0.25896649807691574,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.21301440801471472,0.2475109426304698,0.24308674223721027,0.257925346493721,0,0,0,0,0.21408035978674889,0.24823432601988316,0.8709507025778294,0.27311233151704073,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.18284408282488585,0.19741998054087162,0.2512429226189852,0.27034398820251226,0,0,0,0,0.1837559947744012,0.19829112105071545,0.8692077025771141,0.28454817924648523,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.25238284282386303,0.24953321740031242,0.24947605933994055,0.27697268314659595,0,0,0,0,0.2536173528060317,0.25047501269727945,0.8714011898264289,0.29310315288603306,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.24724028166383505,0.24946388509124517,0.24847267009317875,0.2568442886695266,0,0,0,0,0.2484290413558483,0.2504087872803211,0.8670978844165802,0.26844950672239065,199,166,201
0,0,201,201,201,201,201,201,201,201,201,201,201,201,0.2481437874957919,0.2449308056384325,0.2581415884196758,0.26745067071169615,0,0,0,0,0.24948060512542725,0.24594253487884998,0.8730513630434871,0.28345621656626463,199,166,201
